Date,Employment num,Ethnicity,,Total by Year,,,,,,
Jan-Mar 2018,28519.00,White,,"32,277",,,,,,
Apr-Jun 2018,28399.00,White,,"32,321",,,,,,
Jul-Sep 2018,28519.00,White,,"32,503",,,,,,
Oct-Dec 2018,28709.00,White,,"32,671",,,,,,
Jan-Mar 2019,28694.00,White,,"32,641",,,,,,
Apr-Jun 2019,28861.00,White,,"32,752",,,,,,
Jul-Sep 2019,28763.00,White,,"32,802",,,,,,
Oct-Dec 2019,28976.00,White,,"32,983",,,,,,
Jan-Mar 2020,28787.00,White,,"33,008",,,,,,
Apr-Jun 2020,28403.00,White,,"32,547",,,,,,
Jul-Sep 2020,28230.00,White,,"32,351",,,,,,
Oct-Dec 2020,28134.00,White,,"32,187",,,,,,
Jan-Mar 2021,28056.00,White,,"32,181",,,,,,
Apr-Jun 2021,28060.00,White,,"32,229",,,,,,
Jul-Sep 2021,28297.00,White,,"32,543",,,,,,
Oct-Dec 2021,28240.00,White,,"32,529",,,,,,
Jan-Mar 2022,28114.00,White,,"32,558",,,,,,
Jan-Mar 2018,333.00,Mixed/Multiple,,,,,,,,
Apr-Jun 2018,380.00,Mixed/Multiple,,,,,,,,
Jul-Sep 2018,389.00,Mixed/Multiple,,,,,,,,
Oct-Dec 2018,375.00,Mixed/Multiple,,,,,,,,
Jan-Mar 2019,396.00,Mixed/Multiple,,,,,,,,
Apr-Jun 2019,343.00,Mixed/Multiple,,,,,,,,
Jul-Sep 2019,362.00,Mixed/Multiple,,,,,,,,
Oct-Dec 2019,366.00,Mixed/Multiple,,,,,,,,
Jan-Mar 2020,406.00,Mixed/Multiple,,,,,,,,
Apr-Jun 2020,424.00,Mixed/Multiple,,,,,,,,
Jul-Sep 2020,436.00,Mixed/Multiple,,,,,,,,
Oct-Dec 2020,444.00,Mixed/Multiple,,,,,,,,
Jan-Mar 2021,441.00,Mixed/Multiple,,,,,,,,
Apr-Jun 2021,468.00,Mixed/Multiple,,,,,,,,
Jul-Sep 2021,463.00,Mixed/Multiple,,,,,,,,
Oct-Dec 2021,466.00,Mixed/Multiple,,,,,,,,
Jan-Mar 2022,495.00,Mixed/Multiple,,,,,,,,
Jan-Mar 2018,854.00,Indian,,,,,,,,
Apr-Jun 2018,898.00,Indian,,,,,,,,
Jul-Sep 2018,906.00,Indian,,,,,,,,
Oct-Dec 2018,884.00,Indian,,,,,,,,
Jan-Mar 2019,844.00,Indian,,,,,,,,
Apr-Jun 2019,874.00,Indian,,,,,,,,
